#frame,fps
0,6.537209
1,6.723317
2,5.671156
3,6.226439
4,6.890121
5,7.640337
6,8.469485
7,9.390524
8,10.40576
9,11.52897
10,12.75021
11,14.12065
12,15.59787
13,17.14978
14,18.97115
15,20.92226
16,23.10712
17,25.20773
18,27.83531
19,30.66577
20,33.71008
21,37.01875
22,40.31112
23,44.21119
24,48.45958
25,52.95376
26,57.72159
27,62.0547
28,67.77348
29,73.59109
30,79.92301
31,86.20209
32,91.47648
33,98.83
34,105.9883
35,112.7859
36,117.4969
37,125.5057
38,134.0957
39,142.6576
40,150.9513
41,153.945
42,162.8936
43,171.0458
44,180.4182
45,186.627
46,189.4459
47,198.5815
48,207.597
49,214.7309
50,223.6059
51,220.9457
52,227.8741
53,237.7935
54,245.0208
55,250.5727
56,244.9016
57,253.0925
58,258.8466
59,265.6753
60,270.0911
61,261.9221
62,269.5297
63,275.8203
64,280.9514
65,284.2314
66,272.17
67,280.128
68,286.7295
69,289.2718
70,269.525
71,276.7608
72,280.5336
73,285.2439
74,288.7849
75,271.9131
76,277.4825
77,283.9547
78,285.8818
79,288.0571
80,299.0662
81,314.1072
82,330.6491
83,345.2385
84,359.9422
85,372.8531
86,384.648
87,392.3105
88,398.3506
89,411.31
90,425.9832
91,439.0472
92,453.1195
93,466.1589
94,472.8977
95,481.2667
96,487.8751
97,492.3696
98,501.9261
99,512.8225
100,526.1127
101,537.4351
102,547.8219
103,556.0344
104,560.48
105,564.2811
106,568.6892
107,575.3453
108,576.0508
109,579.8372
110,584.4672
111,588.0955
112,588.6738
113,589.4592
114,593.3123
115,598.366
116,604.1982
117,610.9566
118,602.9982
119,600.8779
120,604.76
121,597.5594
122,597.2123
123,601.8579
124,600.3375
125,603.0539
126,604.7617
127,603.1656
128,592.5864
129,594.6838
130,597.4968
131,600.8156
132,601.9875
133,606.3629
134,611.4414
135,587.9304
136,578.9672
137,579.2594
138,581.7309
139,589.5576
140,597.1794
141,606.3015
142,613.6776
143,622.9528
144,629.964
145,639.7203
146,644.9014
147,651.9916
148,652.2579
149,644.5074
150,645.6882
151,652.1448
152,658.3315
153,665.8666
154,666.0751
155,669.6987
156,667.7983
157,667.1816
158,658.1164
159,650.7496
160,628.8555
161,625.105
162,616.8278
163,615.3549
164,617.4515
165,618.4084
166,618.5214
167,616.8601
168,618.3788
169,625.2311
170,625.5443
171,630.0375
172,639.3632
173,644.3753
174,650.4439
175,653.9023
176,658.1102
177,662.6149
178,664.4011
179,663.2868
180,662.252
181,641.6265
182,638.6123
183,635.5276
184,634.628
185,634.2708
186,634.1829
187,633.9229
188,625.4491
189,619.7607
190,622.5358
191,608.7835
192,606.4583
193,600.3568
194,599.6323
195,602.2972
196,602.795
197,598.274
198,596.4675
199,590.7883
200,587.1341
201,578.1885
202,581.9111
203,587.3687
204,592.0182
205,593.3966
206,601.4885
207,609.2628
208,614.0337
209,618.6979
210,625.7674
211,627.9458
212,628.3204
213,636.363
214,641.3722
215,642.1983
216,646.226
217,650.8799
218,656.2612
219,654.8723
220,654.5344
221,657.0849
222,652.7518
223,633.4814
224,626.3425
225,616.8561
226,610.3921
227,603.485
228,595.1255
229,591.5983
230,592.2443
231,582.2643
232,573.2729
233,572.7827
234,562.004
235,550.7057
236,544.2986
237,550.2778
238,558.891
239,565.1595
240,566.8578
241,560.3937
242,563.0238
243,568.9929
244,573.0028
245,575.7772
246,583.1976
247,583.7929
248,583.491
249,584.8739
250,556.5749
251,553.9451
252,556.4057
253,553.5153
254,558.3563
255,561.5125
256,571.2772
257,576.6888
258,558.2028
259,511.6563
260,493.2174
261,480.0231
262,469.0278
263,463.6578
264,456.6175
265,450.5854
266,441.8695
267,439.0354
268,433.0582
269,429.0662
270,422.8029
271,421.0772
272,422.9232
273,422.5692
274,419.3561
275,417.2878
276,421.7087
277,413.3898
278,409.9517
279,402.9283
280,404.6801
281,406.9906
282,406.1898
283,408.4229
284,415.2378
285,403.1213
286,401.0928
287,398.2224
288,397.4573
289,387.0517
290,385.6996
291,387.7559
292,387.7551
293,390.6063
294,394.042
295,393.5194
296,393.4788
297,393.3137
298,388.7919
299,388.1305
300,389.2614
301,399.5715
302,408.944
303,420.3181
304,428.2059
305,428.6689
306,418.9653
307,417.6046
308,425.7151
309,434.8545
310,450.1184
311,467.0532
312,481.0085
313,493.2915
314,502.8388
315,512.8368
316,527.9011
317,540.0196
318,548.96
319,554.5132
320,558.9948
321,561.327
322,563.8016
323,554.4847
324,561.5143
325,559.6476
326,569.4875
327,581.183
328,589.9686
329,600.5808
330,603.8832
331,612.9575
332,622.591
333,626.9781
334,633.454
335,640.159
336,641.4694
337,642.1953
338,646.6244
339,651.562
340,653.016
341,657.8123
342,662.624
343,665.7142
344,661.2481
345,663.8244
346,653.7058
347,650.9374
348,652.6514
349,655.6558
350,658.6828
351,651.3668
352,656.3876
353,657.0082
354,663.9904
355,667.467
356,667.1509
357,667.9893
358,669.861
359,662.7905
360,667.354
361,668.7399
362,673.2581
363,670.9279
364,661.8809
365,654.9083
366,652.2059
367,650.7568
368,648.4852
369,633.6495
370,624.9087
371,623.8302
372,604.1565
373,603.2454
374,600.7737
375,601.6383
376,604.2642
377,602.9891
378,603.5606
379,600.7121
380,597.8852
381,596.3827
382,600.0499
383,609.8657
384,616.5742
385,621.9608
386,625.9442
387,629.9738
388,635.1501
389,627.7787
390,609.9175
391,613.0609
392,617.2445
393,623.3042
394,621.5899
395,619.5672
396,622.8135
397,618.5687
398,614.2914
399,600.5311
400,589.1629
401,587.6956
402,586.7322
403,590.8352
404,587.9664
405,586.9166
406,585.0561
407,579.7457
408,579.064
409,572.947
410,577.9825
411,581.287
412,586.7414
413,592.1135
414,593.2539
415,597.8762
416,579.1937
417,574.4338
418,568.3885
419,569.4456
420,577.4257
421,575.5223
422,576.1674
423,576.9488
424,579.4346
425,571.514
426,574.8565
427,570.4773
428,561.1274
429,561.3015
430,563.3593
431,567.3181
432,569.3199
433,569.5528
434,570.2564
435,571.6973
436,580.0432
437,586.1188
438,574.1072
439,577.0636
440,578.2686
441,580.181
442,581.8791
443,585.1741
444,586.9979
445,588.7841
446,588.7742
447,580.4203
448,580.0664
449,584.3181
450,587.4416
451,591.7905
452,595.6215
453,599.1768
454,605.2166
455,606.053
456,606.9329
457,585.2416
458,583.551
459,582.2817
460,578.1572
461,579.9757
462,588.374
463,593.8104
464,594.0764
465,599.7013
466,599.1156
467,582.1689
468,581.4417
469,584.2123
470,588.4651
471,594.1797
472,598.3964
473,603.3765
474,603.4908
475,609.9855
476,615.9362
477,612.4522
478,607.6359
479,615.1801
480,613.8034
481,605.4414
482,602.1453
483,599.6548
484,601.8501
485,605.0855
486,609.2683
487,601.7819
488,600.7671
489,605.2043
490,607.0646
491,603.9544
492,605.661
493,605.1695
494,604.8484
495,604.3735
496,609.1152
497,609.9633
498,605.3604
499,603.2172
500,596.9222
501,596.5648
502,598.3912
503,603.1899
504,608.4437
505,606.5739
506,601.6871
507,594.1297
508,589.6467
509,589.5157
510,584.9606
511,587.2628
512,592.6756
513,596.9019
514,594.0551
515,592.1501
516,593.8331
517,588.084
518,587.0289
519,590.9592
520,591.1851
521,598.6712
522,610.8999
523,596.2971
524,584.7663
525,573.7773
526,580.9047
527,580.4884
528,582.8665
529,585.181
530,589.986
531,596.6943
532,603.2128
533,613.9598
534,619.2817
535,625.9246
536,626.97
537,629.2413
538,629.3766
539,632.5725
540,633.7128
541,623.6779
542,612.6953
543,610.2028
544,614.4282
545,616.2316
546,620.9445
547,621.7224
548,616.5945
549,620.0127
550,615.6107
551,602.7245
552,595.7524
553,588.4102
554,590.9763
555,592.4017
556,598.541
557,598.5206
558,589.8182
559,586.1376
560,581.086
561,580.9481
562,581.7195
563,581.775
564,589.0115
565,579.5712
566,584.125
567,575.4316
568,578.0469
569,586.6799
570,589.3146
571,591.6293
572,591.2706
573,595.2432
574,600.1042
575,606.3732
576,606.364
577,583.653
578,570.3263
579,563.6044
580,555.8475
581,557.8616
582,560.1666
583,566.834
584,571.2241
585,571.3066
586,572.6044
587,580.0244
588,586.9099
589,593.967
590,596.3827
591,600.5184
592,602.2953
593,608.4006
594,610.2814
595,613.2338
596,616.9756
597,612.0106
598,609.4541
599,611.6203
600,610.6978
601,610.6333
602,612.6288
603,611.5988
604,611.2384
605,611.5308
606,613.0093
607,606.7531
608,608.3224
609,614.5267
610,617.7103
611,622.7411
612,627.2411
613,610.8045
614,603.6837
615,606.3079
616,609.6207
617,611.5656
618,612.6727
619,615.5916
620,611.9133
621,609.709
622,610.0225
623,610.0219
624,607.5567
625,609.5059
626,614.0749
627,603.1475
628,598.0817
629,604.4593
630,608.8821
631,606.7303
632,607.4851
633,608.966
634,613.3107
635,617.5869
636,627.1972
637,633.856
638,632.5828
639,636.7566
640,637.4328
641,629.4678
642,632.6434
643,642.2268
644,646.4483
645,646.8168
646,648.3489
647,645.1606
648,640.3068
649,632.4125
650,631.0615
651,637.52
652,640.6312
653,644.4692
654,642.4308
655,646.6719
656,643.9974
657,642.1613
658,635.5069
659,627.2966
660,615.916
661,617.9904
662,622.9197
663,628.6426
664,634.5516
665,642.9568
666,648.0323
667,654.3305
668,655.9435
669,657.1254
670,654.8224
671,648.4881
672,648.9025
673,650.1751
674,653.8459
675,657.5049
676,661.0997
677,667.0901
678,672.1003
679,671.4312
680,671.5555
681,665.9819
682,665.6779
683,658.3126
684,649.8859
685,645.0994
686,649.5347
687,656.4534
688,659.116
689,651.4381
690,652.3588
691,657.0739
692,654.3821
693,654.389
